Profile,Brand,Price,Life,Hazard,Subj1,Subj2,Subj3,Subj4,Subj5
1,Machismo,$74.99 ,"50,000",No,3,5,1,3,3
2,Goodstone,$69.99 ,"50,000",No,6,8,2,3,6
3,Pirogi,$74.99 ,"70,000",No,6,3,7,5,6
4,Goodstone,$79.99 ,"70,000",Yes,4,4,7,8,3
5,Pirogi,$74.99 ,"70,000",No,7,4,9,6,7
6,Machismo,$69.99 ,"70,000",Yes,9,8,9,9,9
7,Pirogi,$79.99 ,"50,000",Yes,3,1,3,1,2
8,Machismo,$74.99 ,"50,000",Yes,3,5,1,4,3
9,Pirogi,$69.99 ,"60,000",No,8,7,6,5,8
10,Pirogi,$79.99 ,"50,000",Yes,2,1,2,1,2
11,Goodstone,$79.99 ,"70,000",No,3,4,6,9,4
12,Goodstone,$69.99 ,"50,000",No,6,9,4,3,6
13,Goodstone,$74.99 ,"60,000",Yes,6,6,5,5,6
14,Pirogi,$69.99 ,"60,000",Yes,9,6,7,6,8
15,Goodstone,$74.99 ,"60,000",Yes,5,6,5,7,5
16,Machismo,$79.99 ,"60,000",No,2,2,4,4,2
17,Machismo,$79.99 ,"60,000",No,2,2,4,4,2
18,Machismo,$69.99 ,"70,000",Yes,8,8,8,9,9
